Я крашу губы гуталином;Я о-бо-жаю черный цвет
Темный мрачный коридор;Я на цыпочках, как вор
Пластмассовый мир победил;Макет оказался сильней
Взгляни вокруг, оглянись назад;Духи с тобою связаться хотят
Холодный ветер с дождем;Усилился стократно
Я рисую на асфальте;Белым мелом слово хватит
Я сижу и смотрю в чужое небо из чужого окна;И не вижу ни одной знакомой звезды
Вены дорог, дороги вен;Машинкой размажет по кирпичности стен
Ослепший старый маг ночью по лесу бродил;На кладбище разлил он волшебный эликсир
И нигде и ни во сколько;Повстречались и забыли
Больше нечего ловить, всё что надо я поймал;Надо сразу уходить, чтоб никто не привыкал
Этот парень был из тех, кто просто любит жить;Любит праздники и громкий смех, пыль дорог и ветра свист
От края до края небо в огне сгорает;И в нем исчезают все надежды и мечты
Hадо мною тишина, небо полное дождя;Дождь проходит сквозь меня, но боли больше нет
Что такое осень это небо;Плачущее небо под ногами

